2026-09-24 21:36:49,879 | INFO | sqlalchemy.engine.Engine | select pg_catalog.version()
2026-09-24 21:36:49,880 | INFO | sqlalchemy.engine.Engine | [raw sql] {}
2026-09-24 21:36:49,885 | INFO | sqlalchemy.engine.Engine | select current_schema()
2026-09-24 21:36:49,885 | INFO | sqlalchemy.engine.Engine | [raw sql] {}
2026-09-24 21:36:49,889 | INFO | sqlalchemy.engine.Engine | show standard_conforming_strings
2026-09-24 21:36:49,890 | INFO | sqlalchemy.engine.Engine | [raw sql] {}
2026-09-24 21:36:49,891 | INFO | sqlalchemy.engine.Engine | BEGIN (implicit)
2026-09-24 21:36:49,896 | INFO | sqlalchemy.engine.Engine | SELECT pg_catalog.pg_class.relname 
FROM pg_catalog.pg_class JOIN pg_catalog.pg_namespace ON pg_catalog.pg_namespace.oid = pg_catalog.pg_class.relnamespace 
WHERE pg_catalog.pg_class.relname = %(table_name)s AND pg_catalog.pg_class.relkind = ANY (ARRAY[%(param_1)s, %(param_2)s, %(param_3)s, %(param_4)s, %(param_5)s]) AND pg_catalog.pg_table_is_visible(pg_catalog.pg_class.oid) AND pg_catalog.pg_namespace.nspname != %(nspname_1)s
2026-09-24 21:36:49,897 | INFO | sqlalchemy.engine.Engine | [generated in 0.00077s] {'table_name': 'users', 'param_1': 'r', 'param_2': 'p', 'param_3': 'f', 'param_4': 'v', 'param_5': 'm', 'nspname_1': 'pg_catalog'}
2026-09-24 21:36:49,912 | INFO | sqlalchemy.engine.Engine | SELECT pg_catalog.pg_class.relname 
FROM pg_catalog.pg_class JOIN pg_catalog.pg_namespace ON pg_catalog.pg_namespace.oid = pg_catalog.pg_class.relnamespace 
WHERE pg_catalog.pg_class.relname = %(table_name)s AND pg_catalog.pg_class.relkind = ANY (ARRAY[%(param_1)s, %(param_2)s, %(param_3)s, %(param_4)s, %(param_5)s]) AND pg_catalog.pg_table_is_visible(pg_catalog.pg_class.oid) AND pg_catalog.pg_namespace.nspname != %(nspname_1)s
2026-09-24 21:36:49,913 | INFO | sqlalchemy.engine.Engine | [cached since 0.0169s ago] {'table_name': 'products', 'param_1': 'r', 'param_2': 'p', 'param_3': 'f', 'param_4': 'v', 'param_5': 'm', 'nspname_1': 'pg_catalog'}
2026-09-24 21:36:49,921 | INFO | sqlalchemy.engine.Engine | COMMIT
2026-09-24 21:36:53,420 | INFO | sqlalchemy.engine.Engine | select pg_catalog.version()
2026-09-24 21:36:53,421 | INFO | sqlalchemy.engine.Engine | [raw sql] {}
2026-09-24 21:36:53,423 | INFO | sqlalchemy.engine.Engine | select current_schema()
2026-09-24 21:36:53,423 | INFO | sqlalchemy.engine.Engine | [raw sql] {}
2026-09-24 21:36:53,424 | INFO | sqlalchemy.engine.Engine | show standard_conforming_strings
2026-09-24 21:36:53,424 | INFO | sqlalchemy.engine.Engine | [raw sql] {}
2026-09-24 21:36:53,425 | INFO | sqlalchemy.engine.Engine | BEGIN (implicit)
2026-09-24 21:36:53,430 | INFO | sqlalchemy.engine.Engine | SELECT pg_catalog.pg_class.relname 
FROM pg_catalog.pg_class JOIN pg_catalog.pg_namespace ON pg_catalog.pg_namespace.oid = pg_catalog.pg_class.relnamespace 
WHERE pg_catalog.pg_class.relname = %(table_name)s AND pg_catalog.pg_class.relkind = ANY (ARRAY[%(param_1)s, %(param_2)s, %(param_3)s, %(param_4)s, %(param_5)s]) AND pg_catalog.pg_table_is_visible(pg_catalog.pg_class.oid) AND pg_catalog.pg_namespace.nspname != %(nspname_1)s
2026-09-24 21:36:53,430 | INFO | sqlalchemy.engine.Engine | [generated in 0.00049s] {'table_name': 'users', 'param_1': 'r', 'param_2': 'p', 'param_3': 'f', 'param_4': 'v', 'param_5': 'm', 'nspname_1': 'pg_catalog'}
2026-09-24 21:36:53,444 | INFO | sqlalchemy.engine.Engine | SELECT pg_catalog.pg_class.relname 
FROM pg_catalog.pg_class JOIN pg_catalog.pg_namespace ON pg_catalog.pg_namespace.oid = pg_catalog.pg_class.relnamespace 
WHERE pg_catalog.pg_class.relname = %(table_name)s AND pg_catalog.pg_class.relkind = ANY (ARRAY[%(param_1)s, %(param_2)s, %(param_3)s, %(param_4)s, %(param_5)s]) AND pg_catalog.pg_table_is_visible(pg_catalog.pg_class.oid) AND pg_catalog.pg_namespace.nspname != %(nspname_1)s
2026-09-24 21:36:53,444 | INFO | sqlalchemy.engine.Engine | [cached since 0.01437s ago] {'table_name': 'products', 'param_1': 'r', 'param_2': 'p', 'param_3': 'f', 'param_4': 'v', 'param_5': 'm', 'nspname_1': 'pg_catalog'}
2026-09-24 21:36:53,447 | INFO | sqlalchemy.engine.Engine | COMMIT
2026-09-24 21:37:13,680 | INFO | main | /country endpoint called....
2026-09-24 21:37:27,875 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:37:28,227 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:37:28,586 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:37:28,972 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:37:29,328 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:37:29,687 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:37:30,048 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:37:30,414 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:37:30,771 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:37:31,127 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:37:31,486 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:37:31,851 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:37:32,203 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:37:32,557 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:37:32,914 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:37:33,271 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:37:33,621 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:37:33,983 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:37:34,341 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:37:34,699 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:37:35,057 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:37:35,418 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:37:35,783 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:37:36,139 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:37:36,497 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:37:36,855 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:37:37,217 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:37:37,582 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:37:37,941 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:37:38,296 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:37:38,651 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:37:39,008 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:37:39,364 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:37:39,722 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:37:40,082 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:37:40,448 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:37:40,804 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:37:41,155 | INFO | watchfiles.main | 1 change detected
2026-09-24 21:37:41,516 | INFO | watchfiles.main | 1 change detected
